customer_id,customer_unique_id,customer_city,customer_state,total_spend
1617b1357756262bfa56ab541c47bc16,0a0a92112bd4c708ca5fde585afaa872,rio de janeiro,RJ,13664.08
ec5b2ba62e574342386871631fafd3fc,763c8b1c9c68a0229c42c9fc6f662b93,vila velha,ES,7274.88
c6e2731c5b391845f6800c97401a43a9,dc4802a71eae9be1dd28f5d788ceb526,campo grande,MS,6929.31
f48d464a0baaea338cb25f816991ab1f,459bef486812aa25204be022145caa62,vitoria,ES,6922.21
3fd6777bbce08a352fddd04e4a7cc8f6,ff4159b92c40ebe40454e3e6a7c35ed6,marilia,SP,6726.66
05455dfa7cd02f13d132aa7a6a9729c6,4007669dec559734d6f53e029e360987,divinopolis,MG,6081.54
df55c14d1476a9a3467f131269c2477f,da122df9eeddfedc1dc1f5349a1a690c,araruama,RJ,4950.34
e0a2412720e9ea4f26c1ac985f6a7358,5d0a2980b292d049061542014e8960bf,goiania,GO,4809.44
24bbf5fd2f2e1b359ee7de94defc4a15,eebb5dda148d3893cdaf5b5ca3040ccb,maua,SP,4764.34
3d979689f636322c62418b6346b1c6d2,48e1ac109decbb87765a3eade6854098,joao pessoa,PB,4681.78
1afc82cd60e303ef09b4ef9837c9505c,edde2314c6c30e864a128ac95d6b2112,sao paulo,SP,4513.32
cc803a2c412833101651d3f90ca7de24,a229eba70ec1c2abef51f04987deb7a5,niteroi,RJ,4445.5
926b6a6fb8b6081e00b335edaf578d35,edf81e1f3070b9dac83ec83dacdbb9bc,brasilia,DF,4194.76
35a413c7ca3c69756cb75867d6311c0d,fa562ef24d41361e476e748681810e1e,bom jesus do galho,MG,4175.26
e9b0d0eb3015ef1c9ce6cf5b9dcbee9f,ca27f3dac28fb1063faddd424c9d95fa,nova lima,MG,4163.51
3be2c536886b2ea4668eced3a80dd0bb,5e713be0853d8986528d7869a0811d2b,belem,PA,4042.74
eb7a157e8da9c488cd4ddc48711f1097,58483a1c055dfb600f57c5b867174542,jundiai,SP,4034.44
c6695e3b1e48680db36b487419fb0398,011875f0176909c5cf0b14a9138bb691,sao paulo,SP,4016.91
31e83c01fce824d0ff786fcd48dad009,f0767ae738c3d90e7b737d7b8b8bb4d1,rio de janeiro,RJ,3979.55
addc91fdf9c2b3045497b57fc710e820,bc5e25094a7d51b6aee35236572e64f4,para de minas,MG,3826.8
19b32919fa1198aefc0773ee2e46e693,3fec1a05177762f279472253113d568a,recife,PE,3792.59
58acc4e2788bf6fc445fddcce9c1db03,5aad27a7b4f74b1c3389d56c74db1057,mafra,SC,3782.19
66657bf1753d82d0a76f2c4719ab8b85,5d09b0d82126457e2a8ebfb9c9a1ffc4,brasilia,DF,3736.22
7d03bf20fa96e80468bbf678eebbcb3f,931eabdf0636b8fd60369a8d759917d6,gaspar,SC,3666.42
39d6658037b1b5a07d0a24d423f0bd19,03796b63235e0e0a299084988c662c7e,brasilia,DF,3602.47
e7c905bf4bb13543e8df947af4f3d9e9,2c3b08cf3584d8c0a81d9618a73aa219,presidente prudente,SP,3526.46
3c7c62e8d38fb18a33a45db8021f2d69,95a744604de66a2e40e18086e69be4f2,joao pessoa,PB,3406.47
0b16ce67087d02bf833c807e82b1992b,76a08544f95591acec0d4c976054c459,luis eduardo magalhaes,BA,3358.24
803cd9b04f9cd252c6a83a2ecdbc22c3,ce3fe361f9e68bf0a813baaae1334d01,belo horizonte,MG,3351.35
46bb3c0b1a65c8399d0363cefbcc4f37,7a96eb0a685f5c19b7dad29fc802aa64,santa maria,RS,3297.40
a7ea318cbe9df2ec79ab37cd7ca2135d,9b11e010850a4045d2da80c7783fdbd1,sao paulo,SP,3256.14
f7622098214b4634b7fe7eee269b5426,adfa1cab2b2c8706db21bb13c0a1beb1,campo novo do parecis,MT,3242.84
7e7d2271d6f55b03b0bd4615c5f2de6e,bbeb907759ef5fc169099af3c88d535d,gaspar,SC,3209.72
71901689c5f3e5adc27b1dd16b33f0b8,1b76903617af13189607a36b0469f6f3,sao luis,MA,3195.73
c26acf0451e0f8ec1f5218731b9a51cf,6f00d356a4be20527662aaf12116baab,trindade,PE,3184.55
25dbbf0c477fd4ae0880aaffbb12e8b3,46450c74a0d8c5ca9395da1daac6c120,florianopolis,SC,3184.34
040d94f8ba8ca26014bd6f7e8a6e0c0d,46450c74a0d8c5ca9395da1daac6c120,florianopolis,SC,3184.34
26dcb450c4b5b390e79e6d5d0f2c6535,46450c74a0d8c5ca9395da1daac6c120,florianopolis,SC,3184.34
a95f4bbcf95262b073e4afa481b59ff8,53fb3435773a4690e56010b169ee2820,divinopolis,MG,3155.82
10a86619816f9d2afce3f45b04aabc71,c6111f70f40b3420e387493c627c27fa,angra dos reis,RJ,3126.5
0a209a88c2e3dc2981c79ad85c558059,895617ab63a9ad8881d9470f7427cd25,curitiba,PR,3126.5
6152fbfc8a92ee25fd821740bd33b089,be825ddd3b40db3f91bf05b4e9435d56,salvador,BA,3122.72
c03dfaf5db49d8583edbb5627f92058d,f886a3f43af9ac928fbb4b56436c528c,sao paulo,SP,3076.13
4312e816d88fa8bdb6246878f61cdad5,ff0ae98646e7bbb41cf0f0d3991fef98,eunapolis,BA,3048.27
3a4e4932f3e6976dd966f1d3c044d49e,0f75637a7e2f7b6ae43665d1f7d0ca5d,campo grande,MS,3044.12
d7c94e22bfd332eb29b0f5badc3ce103,2ae8173a688e326821403a5b7a6858c2,varginha,MG,3042.36
8dd4c93bfbebe2a77657d46ef959a7ac,6172bd5b7f52ade8c6c4548b448ff54f,rio de janeiro,RJ,3041.73
fd78e5e3abdc375368456fe738694c00,ea984b06b18cc6905bc2f9b0a3d1c986,monte alegre do sul,SP,3024.08
1ff773612ab8934db89fd5afa8afe506,ef8d54b3797ea4db1d63f0ced6a906e9,rio de janeiro,RJ,3018.6
101c8d91278c4de9001566d27033f673,ee2bb06c1d3f368e92084edefb7e4b57,sao paulo,SP,3016.01
